id,title,company,location,salary_min,salary_max,salary_is_predicted,latitude,longitude,description,category,category_tag,contract_type,contract_time,created,url
5741973622,Data Analyst,Insight Global,"Toronto, Ontario",,,0,43.706102,-79.402726,"Job Description We are seeking a motivated and detail-oriented Junior Data Analyst to support our innovative Generative AI (GenAI) initiatives within a leading financial institution. This role is ideal for someone early in their data career who has a strong interest in data analysis, reporting, and data quality, and is eager to grow their skills in a dynamic and collaborative environment. As a Junior Data Analyst on the GenAI team, you will work closely with data engineers and AI researchers to…",IT Jobs,it-jobs,,,2026-05-27T01:26:44Z,https://www.adzuna.ca/details/5741973622?utm_medium=api&utm_source=f5a79969
5703538141,Data Analyst,ADF Medical Services Inc.,"Toronto Dominion Centre, City of Toronto",,,0,43.64837,-79.3819,"Here's your clean, copy-ready job posting: JOB OPENING — Remote Data Analyst ADF Medical Services Inc. We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time What You'll Do: Collect, clean, and analyze large sets of patient …",IT Jobs,it-jobs,,part_time,2026-04-18T07:11:31Z,https://www.adzuna.ca/details/5703538141?utm_medium=api&utm_source=f5a79969
5782230025,Data Analyst,Insight Global,"Toronto, Ontario",,,0,43.706102,-79.402726,"Insight Global is looking for an intermediate Data Analyst to join a top bank downtown Toronto for a 12-month contract within their Risk group. The right candidate will be proficient with Python and SQL. The Analyst will be responsible for maintaining current Python scripts, creating business requirements, and supporting with automation. They will be responsible for tasks across daily production/reporting and project work for a new infrastructure project. They need strong communication and prob…",IT Jobs,it-jobs,contract,,2026-06-30T11:05:17Z,https://www.adzuna.ca/details/5782230025?utm_medium=api&utm_source=f5a79969
5783781351,Data Analyst,Delpath,"Toronto, Ontario",,,0,43.706102,-79.402726,"Contract Duration: 1 year with extension Business group: Global Banking and Markets (GBM) Project: Capital Analytics Project Reason: To support Client Insight & Analytics' day-to-day activities, to support Capital Analytics project. Key Accountabilities Assist in the processing and validation of large volumes of financial data from various sources. Collaborate with cross-functional teams to troubleshoot data discrepancies and resolve inquiries promptly. Perform reconciliations between internal …",IT Jobs,it-jobs,contract,,2026-07-01T10:04:19Z,https://www.adzuna.ca/details/5783781351?utm_medium=api&utm_source=f5a79969
5721992379,Data Analyst,Vretta,"Toronto, Ontario",,,0,43.706102,-79.402726,"Vretta is looking for a Data Analyst to join our Data and Evaluation team. This posting is for an existing vacancy at Vretta. This position requires excellent communication skills, creative problem solving ability, and a sound technical ability to be able to understand requirements, develop technological solutions for data analysis, collaborate with the data engineering and development team, and maintain processes that support student learning and assessment. As a member of the Data and Evaluat…",IT Jobs,it-jobs,,full_time,2026-05-07T16:32:50Z,https://www.adzuna.ca/details/5721992379?utm_medium=api&utm_source=f5a79969
5769788120,Data Analyst,Socan,"Toronto, Ontario",,,0,43.706102,-79.402726,"We’re Hiring!Data AnalystToronto, ON | Montreal, QCwww.socan.com POSITION TYPE: Permanent Full-TimeHIRING RANGE: $71,920 to $89,900 REASON FOR HIRING: Replacement WORK MODEL: HybridLANGUAGE: English, French is an asset WHO WE ARE SOCAN is a not-for-profit copyright collective dedicated to ensuring music creators and publishers receive what they have rightfully earned for the use of their work. SOCAN supports and represents nearly 200,000 songwriters, composers, and music publishers. Through lic…",IT Jobs,it-jobs,permanent,full_time,2026-06-19T17:50:40Z,https://www.adzuna.ca/details/5769788120?utm_medium=api&utm_source=f5a79969
5778227289,Data Analyst,Releady,"Toronto, Ontario",,,0,43.706102,-79.402726,"OVERVIEW The Data Analyst will play a crucial role in supporting customer journey deployment by leveraging strong technical design, ensuring data quality, and conducting in-depth analyses. This position focuses on creating technical specifications, supporting user acceptance testing (UAT), and developing reporting solutions that enhance customer experiences. The ideal candidate will have over five years of experience in data analytics within fintech, telecommunications, or customer-facing envir…",IT Jobs,it-jobs,contract,,2026-06-26T17:11:25Z,https://www.adzuna.ca/details/5778227289?utm_medium=api&utm_source=f5a79969
5728319264,Data Analyst,Konrad,"Toronto, Ontario",75000.0,100000.0,0,43.706102,-79.402726,"Who We Are Konrad is a next-generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard-working people who are lifelong learners. About The Role This role sits on our Digital team, w…",Consultancy Jobs,consultancy-jobs,,,2026-05-13T16:46:12Z,https://www.adzuna.ca/details/5728319264?utm_medium=api&utm_source=f5a79969
5657181242,Data Analyst,Insight Global,"Toronto, Ontario",,,0,43.706102,-79.402726,"Job Description Insight Global is hiring for a Data Analyst to support our Capital Markets Fixed Income team, with a strong focus on back-office and operational data. This is a new role supporting both businesss as usual data related tasks and a strategic initiative to migrate enterprise data to Databricks and improve data transparency, controls, and regulatory reporting. This role is domain-heavy and ideal for someone who deeply understands capital markets business domains and can translate bu…",IT Jobs,it-jobs,,,2026-03-06T23:45:29Z,https://www.adzuna.ca/details/5657181242?utm_medium=api&utm_source=f5a79969
5704281279,Data Analyst,Insight Global,"Toronto, Ontario",,,0,43.706102,-79.402726,"Job Description Insight Global is looking for a data analyst for an Information Security team for a large Canadian bank. This consultant is responsible for analyzing, reporting, and presenting data for many different teams within Power BI. We are looking for someone who has strong experience with large data sets, investigative skills to find out the meaning behind the data so it can be digested appropriately when developing, troubleshooting, and maintaining the data. We are a company committed …",IT Jobs,it-jobs,,,2026-04-19T01:45:51Z,https://www.adzuna.ca/details/5704281279?utm_medium=api&utm_source=f5a79969
